Territorio;Año;Mes;Año_mes;Precio medio;Nombre del Producto;Indicador
Canarias;2020;octubre;2020-10;1.09;Zanahorias;Precio medio en origen
Canarias;2020;noviembre;2020-11;5.02;Aguacates;Precio medio en destino
Canarias;2020;noviembre;2020-11;3.92;Aguacates;Precio medio en merca
Canarias;2020;noviembre;2020-11;2.55;Aguacates;Precio medio en origen
Canarias;2020;noviembre;2020-11;2.37;Batatas y boniatos;Precio medio en destino
Canarias;2020;noviembre;2020-11;1.14;Batatas y boniatos;Precio medio en merca
Canarias;2020;noviembre;2020-11;0.94;Batatas y boniatos;Precio medio en origen
Canarias;2020;noviembre;2020-11;1.84;Berenjenas;Precio medio en destino
Canarias;2020;noviembre;2020-11;0.87;Berenjenas;Precio medio en merca
Canarias;2020;noviembre;2020-11;0.61;Berenjenas;Precio medio en origen
Canarias;2020;noviembre;2020-11;4.09;Berros;Precio medio en destino
Canarias;2020;noviembre;2020-11;1.57;Berros;Precio medio en merca
Canarias;2020;noviembre;2020-11;0.68;Berros;Precio medio en origen
Canarias;2020;noviembre;2020-11;4.07;Brócoli;Precio medio en destino
Canarias;2020;noviembre;2020-11;2.95;Brócoli;Precio medio en merca
Canarias;2020;noviembre;2020-11;2.09;Brócoli;Precio medio en origen
Canarias;2020;noviembre;2020-11;2.41;Bubangos;Precio medio en destino
Canarias;2020;noviembre;2020-11;1.49;Bubangos;Precio medio en merca
Canarias;2020;noviembre;2020-11;0.94;Bubangos;Precio medio en origen
Canarias;2020;noviembre;2020-11;2.28;Calabacines;Precio medio en destino
Canarias;2020;noviembre;2020-11;0.83;Calabacines;Precio medio en merca
Canarias;2020;noviembre;2020-11;0.90;Calabacines;Precio medio en origen
Canarias;2020;noviembre;2020-11;1.44;Calabazas;Precio medio en destino
Canarias;2020;noviembre;2020-11;0.46;Calabazas;Precio medio en merca
Canarias;2020;noviembre;2020-11;0.38;Calabazas;Precio medio en origen
Canarias;2020;noviembre;2020-11;1.44;Cebollas;Precio medio en destino
Canarias;2020;noviembre;2020-11;1.50;Cebollas;Precio medio en merca
